Thu Sep 24 14:49:27 2026    ep.prof

         51419624 function calls (50728443 primitive calls) in 109.119 seconds

   Ordered by: internal time
   List reduced from 10814 to 400 due to restriction <400>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2639    0.063    0.000    0.149    0.000 SP/numpy/lib/_type_check_impl.py:373(nan_to_num)
18959/18919    0.062    0.000    0.182    0.000 PyAutoFit/autofit/mapper/model.py:65(wrapper)
     8794    0.062    0.000    0.117    0.000 SP/matplotlib/_api/__init__.py:147(check_shape)
    62153    0.062    0.000    0.062    0.000 {method 'rpartition' of 'str' objects}
    25226    0.062    0.000    0.325    0.000 SP/matplotlib/cbook.py:871(get_siblings)
32902/26456    0.061    0.000    0.077    0.000 SP/matplotlib/transforms.py:165(_invalidate_internal)
     9266    0.061    0.000    0.912    0.000 SP/matplotlib/markers.py:299(_set_marker)
    24098    0.061    0.000    0.143    0.000 SP/matplotlib/lines.py:1309(set_ydata)
    19954    0.061    0.000    0.174    0.000 {method 'all' of 'numpy.generic' objects}
     7272    0.061    0.000    0.061    0.000 SP/matplotlib/transforms.py:2918(_interval_contains_close)
    18575    0.061    0.000    0.141    0.000 SP/matplotlib/lines.py:1290(set_xdata)
    13995    0.060    0.000    0.060    0.000 {method 'search' of 're.Pattern' objects}
   119326    0.060    0.000    0.065    0.000 {method 'pop' of 'dict' objects}
    55007    0.059    0.000    9.304    0.000 SP/dynesty/sampler.py:294(update_bound_if_needed)
     8043    0.059    0.000    0.126    0.000 SP/matplotlib/transforms.py:1973(rotate)
    17664    0.058    0.000    0.096    0.000 SP/scipy/linalg/blas.py:395(getter)
    65748    0.058    0.000    0.473    0.000 SP/numpy/_core/_methods.py:67(_all)
     5645    0.058    0.000    0.080    0.000 SP/scipy/linalg/_misc.py:17(norm)
19122/19077    0.058    0.000    0.246    0.000 SP/matplotlib/transforms.py:1849(transform_affine)
   364318    0.058    0.000    0.058    0.000 STDLIB/typing.py:2187(cast)
     1407    0.057    0.000    1.183    0.001 SP/matplotlib/axis.py:1527(get_minorticklocs)
      406    0.057    0.000    1.640    0.004 PyAutoFit/autofit/graphical/factor_graphs/abstract.py:270(_numerical_factor_jacobian)
    17459    0.057    0.000    0.107    0.000 STDLIB/inspect.py:2743(__init__)
    11756    0.057    0.000    0.130    0.000 SP/psutil/__init__.py:478(oneshot)
    48222    0.057    0.000    0.134    0.000 SP/numpy/_core/_ufunc_config.py:456(__exit__)
    49092    0.057    0.000    0.107    0.000 SP/numpy/_core/numerictypes.py:289(issubclass_)
     1015    0.057    0.000    1.698    0.002 SP/scipy/stats/_distn_infrastructure.py:1148(stats)
     9519    0.056    0.000    0.084    0.000 SP/matplotlib/transforms.py:2041(scale)
     1561    0.056    0.000    0.056    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       60    0.056    0.001    0.983    0.016 PyAutoFit/autofit/mapper/prior_model/abstract.py:2196(log_prior_list_from)
     8429    0.055    0.000    0.344    0.000 STDLIB/textwrap.py:419(dedent)
    36222    0.055    0.000    0.313    0.000 {method 'max' of 'numpy.ndarray' objects}
36128/18828    0.054    0.000    0.119    0.000 PyAutoFit/autofit/graphical/utils.py:131(nested_zip)
    32644    0.054    0.000    0.357    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:1552(<lambda>)
    26847    0.054    0.000    0.400    0.000 SP/numpy/_core/fromnumeric.py:2589(all)
     4181    0.053    0.000    0.053    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
     7921    0.053    0.000    0.134    0.000 SP/numpy/_core/_methods.py:235(_ptp)
     2148    0.052    0.000    1.313    0.001 {built-in method _functools.reduce}
     6427    0.052    0.000    0.885    0.000 PyAutoFit/autofit/messages/interface.py:275(sum_natural_parameters)
     8472    0.052    0.000    0.074    0.000 STDLIB/pathlib.py:358(__init__)
 2340/525    0.052    0.000    0.141    0.000 STDLIB/re/_parser.py:512(_parse)
     6081    0.052    0.000    0.288    0.000 SP/matplotlib/font_manager.py:656(__init__)
     5951    0.052    0.000    0.173    0.000 PyAutoFit/autofit/mapper/variable.py:305(__op__)
       30    0.051    0.002   50.124    1.671 SP/dynesty/sampler.py:920(run_nested)
     4792    0.051    0.000    0.093    0.000 {method '__exit__' of '_io._IOBase' objects}
    34065    0.050    0.000    0.126    0.000 SP/matplotlib/colors.py:219(_is_nth_color)
    19483    0.050    0.000    1.310    0.000 SP/matplotlib/artist.py:1239(set)
    47243    0.050    0.000    0.050    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     9178    0.050    0.000    0.081    0.000 SP/numpy/_core/shape_base.py:80(atleast_2d)
     4237    0.050    0.000    0.959    0.000 SP/matplotlib/font_manager.py:1293(findfont)
      480    0.049    0.000    1.528    0.003 SP/dynesty/sampler.py:228(results)
     2634    0.049    0.000    0.425    0.000 SP/matplotlib/patches.py:800(get_patch_transform)
    34204    0.049    0.000    0.068    0.000 PyAutoFit/autofit/non_linear/samples/sample.py:13(__init__)
    25793    0.048    0.000    0.261    0.000 SP/matplotlib/artist.py:102(_stale_axes_callback)
     4387    0.048    0.000    0.113    0.000 SP/matplotlib/artist.py:1169(update_from)
     4138    0.048    0.000    0.109    0.000 STDLIB/pathlib.py:387(_parse_path)
   176885    0.048    0.000    0.048    0.000 {method 'strip' of 'str' objects}
   111052    0.048    0.000    0.048    0.000 SP/scipy/_lib/_array_api_override.py:69(array_namespace)
     3389    0.047    0.000    0.082    0.000 SP/numpy/_core/shape_base.py:220(vstack)
    85493    0.047    0.000    0.093    0.000 PyAutoFit/autofit/mapper/model.py:239(<lambda>)
     4692    0.047    0.000    0.169    0.000 SP/matplotlib/backend_bases.py:680(__init__)
     3344    0.047    0.000    2.786    0.001 SP/scipy/_lib/_util.py:291(wrapper)
     3707    0.047    0.000    0.047    0.000 SP/numpy/_core/getlimits.py:598(smallest_normal)
    21457    0.046    0.000    0.262    0.000 {method 'sum' of 'numpy.ndarray' objects}
     5890    0.046    0.000    0.059    0.000 SP/numpy/_core/numeric.py:1386(normalize_axis_tuple)
    25482    0.046    0.000    0.150    0.000 SP/matplotlib/font_manager.py:1251(score_weight)
    24620    0.046    0.000    0.282    0.000 {method 'min' of 'numpy.ndarray' objects}
     3111    0.046    0.000    0.080    0.000 SP/matplotlib/transforms.py:617(translated)
    30672    0.046    0.000    0.053    0.000 SP/yaml/reader.py:99(forward)
      287    0.045    0.000    0.146    0.001 SP/matplotlib/artist.py:1513(get_setters)
     4358    0.045    0.000    0.088    0.000 SP/matplotlib/lines.py:1158(set_linestyle)
     5241    0.045    0.000    0.045    0.000 {built-in method builtins.round}
     3344    0.045    0.000    0.087    0.000 SP/dynesty/bounding.py:190(major_axis_endpoints)
   114394    0.045    0.000    0.045    0.000 {built-in method _operator.index}
       30    0.044    0.001    0.056    0.002 SP/anesthetic/boundary.py:200(_kde_eval)
     1001    0.044    0.000    2.520    0.003 PyAutoFit/autofit/messages/truncated_normal.py:312(kl)
     2790    0.044    0.000    0.052    0.000 SP/matplotlib/ticker.py:1984(scale_range)
     1468    0.043    0.000    0.046    0.000 {built-in method posix.mkdir}
     3274    0.043    0.000    0.220    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
     1816    0.043    0.000    0.063    0.000 SP/numpy/_core/_methods.py:99(_clip)
     3142    0.043    0.000    0.105    0.000 PyAutoFit/autofit/messages/normal.py:179(calc_natural_parameters)
     6690    0.042    0.000    0.137    0.000 PyAutoFit/autofit/mapper/model.py:235(direct_tuples_with_type)
     1560    0.042    0.000    0.089    0.000 PyAutoFit/autofit/mapper/variable.py:285(__op__)
     2393    0.042    0.000    0.615    0.000 SP/matplotlib/artist.py:786(set_clip_path)
   126002    0.042    0.000    0.042    0.000 SP/matplotlib/artist.py:294(axes)
    53447    0.042    0.000    0.371    0.000 SP/numpy/_core/_methods.py:58(_any)
    17643    0.042    0.000    0.080    0.000 PyAutoFit/autofit/mapper/prior_model/collection.py:242(__setattr__)
7014/7012    0.041    0.000    0.471    0.000 SP/matplotlib/transforms.py:1473(transform)
     8731    0.041    0.000    0.489    0.000 SP/matplotlib/path.py:99(__init__)
    10522    0.041    0.000    0.117    0.000 SP/matplotlib/transforms.py:2342(__init__)
    19483    0.040    0.000    1.351    0.000 SP/matplotlib/artist.py:146(<lambda>)
    62649    0.040    0.000    0.055    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:1014(<lambda>)
    35673    0.040    0.000    0.107    0.000 SP/scipy/linalg/lapack.py:1058(<genexpr>)
     1215    0.040    0.000    0.148    0.000 SP/matplotlib/ticker.py:746(_compute_offset)
     4757    0.040    0.000    0.064    0.000 <frozen posixpath>:71(join)
    17684    0.040    0.000    0.334    0.000 STDLIB/re/__init__.py:280(_compile)
     4293    0.040    0.000    0.056    0.000 STDLIB/inspect.py:3029(__init__)
    31997    0.040    0.000    0.061    0.000 PyAutoFit/autofit/messages/interface.py:25(shape)
     5999    0.040    0.000    0.446    0.000 SP/matplotlib/artist.py:1463(get_valid_values)
    47931    0.040    0.000    0.040    0.000 {built-in method sys.intern}
     2814    0.040    0.000    0.564    0.000 SP/matplotlib/ticker.py:214(format_ticks)
     7036    0.040    0.000    0.171    0.000 SP/matplotlib/markers.py:250(_recache)
    50554    0.039    0.000    0.045    0.000 SP/matplotlib/artist.py:725(get_figure)
     1152    0.039    0.000    0.408    0.000 SP/matplotlib/axis.py:2810(get_tick_space)
27266/27265    0.039    0.000    0.236    0.000 {method 'view' of 'numpy.ndarray' objects}
    24360    0.039    0.000    0.039    0.000 SP/scipy/_lib/array_api_extra/_lib/_funcs.py:160(<genexpr>)


