Thu Sep 24 14:49:27 2026    ep.prof

         51419624 function calls (50728443 primitive calls) in 109.119 seconds

   Ordered by: internal time
   List reduced from 10814 to 400 due to restriction <400>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    61119    0.326    0.000   21.444    0.000 PyAutoFit/autofit/non_linear/fitness.py:552(call_wrap)
     5724    0.324    0.000    0.954    0.000 SP/numpy/lib/_function_base_impl.py:2680(cov)
   195294    0.323    0.000    0.323    0.000 {built-in method numpy.zeros}
    81902    0.320    0.000    0.841    0.000 SP/numpy/_core/numerictypes.py:381(isdtype)
    61089    0.317    0.000    0.420    0.000 PyAutoFit/autofit/mapper/prior/_erf_helpers.py:26(_norm_ppf)
   197273    0.315    0.000    0.462    0.000 PyAutoNerves/autonerves/conf.py:57(__getitem__)
    23651    0.307    0.000    0.371    0.000 SP/matplotlib/cbook.py:1752(normalize_kwargs)
    64463    0.306    0.000    0.306    0.000 {method 'argmax' of 'numpy.ndarray' objects}
    16352    0.303    0.000    0.486    0.000 PyAutoFit/autofit/text/formatter.py:247(write_row)
   260022    0.302    0.000    0.302    0.000 {built-in method numpy.asanyarray}
    59589    0.298    0.000    4.485    0.000 PyAutoFit/autofit/non_linear/search/nest/dynesty/search/abstract.py:58(prior_transform)
       97    0.292    0.003    0.293    0.003 SP/matplotlib/collections.py:352(draw)
    53894    0.287    0.000    1.170    0.000 SP/numpy/_core/numeric.py:2195(identity)
     1451    0.285    0.000    0.285    0.000 {built-in method marshal.loads}
     5938    0.277    0.000    1.332    0.000 SP/dynesty/bounding.py:1215(improve_covar_mat)
    81902    0.273    0.000    0.405    0.000 SP/numpy/_core/numerictypes.py:368(_preprocess_dtype)
    55007    0.273    0.000   32.615    0.001 SP/dynesty/sampler.py:399(_get_point_value)
    10604    0.272    0.000    0.519    0.000 STDLIB/inspect.py:882(cleandoc)
49335/3590    0.271    0.000    0.602    0.000 PyAutoFit/autofit/mapper/model.py:338(path_instances_of_class)
    12145    0.270    0.000    0.843    0.000 SP/scipy/_lib/_array_api.py:524(xp_promote)
   274103    0.268    0.000    0.615    0.000 SP/matplotlib/__init__.py:781(__getitem__)
    64463    0.262    0.000    0.762    0.000 SP/numpy/_core/fromnumeric.py:1251(argmax)
    72485    0.248    0.000    0.641    0.000 STDLIB/copy.py:61(copy)
    32644    0.248    0.000    0.256    0.000 PyAutoFit/autofit/messages/truncated_normal.py:522(log_prior_from_value)
    81910    0.247    0.000    0.260    0.000 PyAutoFit/autofit/text/formatter.py:240(<genexpr>)
    12016    0.247    0.000    1.523    0.000 SP/scipy/_lib/_util.py:1149(wrapper)
    22128    0.241    0.000    0.302    0.000 SP/numpy/_core/shape_base.py:380(stack)
     2376    0.240    0.000    0.240    0.000 {method 'read' of '_io.BufferedReader' objects}
   733458    0.239    0.000    0.239    0.000 PyAutoFit/autofit/non_linear/analysis/analysis.py:128(_xp)
   615776    0.238    0.000    0.385    0.000 PyAutoFit/autofit/non_linear/samples/interface.py:98(paths)
    59589    0.234    0.000   21.877    0.000 SP/dynesty/utils.py:183(__call__)
   293304    0.233    0.000    0.421    0.000 PyAutoFit/autofit/mapper/prior/abstract.py:245(__getattr__)
   225295    0.230    0.000    0.407    0.000 PyAutoFit/autofit/mapper/prior_model/attribute_pair.py:20(__iter__)
   279265    0.229    0.000    0.401    0.000 {built-in method builtins.issubclass}
334375/290835    0.228    0.000    0.431    0.000 SP/matplotlib/artist.py:317(stale)
    63647    0.226    0.000    0.881    0.000 SP/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
    97767    0.222    0.000    0.701    0.000 SP/scipy/_lib/array_api_compat/numpy/_aliases.py:70(asarray)
    20658    0.221    0.000    1.485    0.000 SP/scipy/stats/_distn_infrastructure.py:612(argsreduce)
    18598    0.216    0.000    0.353    0.000 SP/scipy/stats/_distn_infrastructure.py:1044(_open_support_mask)
     2790    0.213    0.000    1.130    0.000 SP/matplotlib/ticker.py:2159(_raw_ticks)
    64338    0.213    0.000    0.429    0.000 PyAutoFit/autofit/mapper/model.py:86(_cached_property_names)
     9661    0.211    0.000    5.887    0.001 SP/dynesty/utils.py:1338(progress_integration)
     1451    0.210    0.000    0.500    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
    40878    0.208    0.000    0.318    0.000 SP/matplotlib/font_manager.py:700(__hash__)
    64604    0.206    0.000    0.307    0.000 SP/matplotlib/cbook.py:2020(_setattr_cm)
   646919    0.206    0.000    0.206    0.000 PyAutoFit/autofit/mapper/prior_model/prior_model.py:348(constructor_argument_names)
    57884    0.205    0.000    0.350    0.000 SP/matplotlib/cbook.py:348(process)
  194/133    0.203    0.001    0.660    0.005 {built-in method _imp.exec_dynamic}
   138957    0.202    0.000    0.347    0.000 SP/scipy/_lib/_array_api.py:75(_asarray)
    11723    0.201    0.000    0.402    0.000 SP/numpy/_core/_methods.py:118(_mean)
   279228    0.201    0.000    0.276    0.000 PyAutoFit/autofit/mapper/prior/abstract.py:261(__hash__)
     4358    0.200    0.000    1.459    0.000 SP/matplotlib/lines.py:301(__init__)
     5645    0.198    0.000    0.514    0.000 SP/dynesty/sampling.py:270(propose_ball_point)
    32613    0.197    0.000    0.980    0.000 SP/numpy/lib/_stride_tricks_impl.py:481(broadcast_arrays)
       31    0.194    0.006    0.758    0.024 SP/matplotlib/font_manager.py:1453(_findfont_cached)
     5679    0.192    0.000    1.122    0.000 SP/dynesty/bounding.py:115(__init__)
   274428    0.190    0.000    0.347    0.000 SP/matplotlib/__init__.py:701(_get)
    19774    0.189    0.000    0.210    0.000 {built-in method posix.stat}
    58830    0.186    0.000    0.997    0.000 SP/numpy/_core/fromnumeric.py:2338(sum)
    27636    0.185    0.000    0.582    0.000 PyAutoFit/autofit/messages/truncated_normal.py:72(__init__)
   944949    0.185    0.000    0.185    0.000 PyAutoFit/autofit/mapper/prior_model/prior_model.py:74(__hash__)
   184889    0.184    0.000    0.264    0.000 SP/scipy/_lib/array_api_compat/common/_helpers.py:683(_check_device)
    32619    0.180    0.000    0.191    0.000 SP/numpy/lib/_stride_tricks_impl.py:413(_broadcast_shape)
    24230    0.174    0.000    0.462    0.000 SP/scipy/_lib/array_api_compat/common/_aliases.py:631(sign)
   120619    0.174    0.000    0.219    0.000 SP/matplotlib/_api/__init__.py:100(check_in_list)
9616/7678    0.172    0.000    0.334    0.000 SP/matplotlib/transforms.py:2432(get_affine)
    61089    0.172    0.000   21.699    0.000 SP/timeout_decorator/timeout_decorator.py:71(new_function)
31199/28231    0.167    0.000    1.133    0.000 STDLIB/copy.py:247(_reconstruct)
    58855    0.167    0.000    0.167    0.000 {built-in method numpy._core._multiarray_umath._place}
365928/365901    0.164    0.000    0.166    0.000 {built-in method builtins.iter}
    57868    0.163    0.000    0.163    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      541    0.163    0.000    0.163    0.000 {method 'compress' of 'zlib.Compress' objects}
151103/150368    0.162    0.000    0.184    0.000 {built-in method __new__ of type object at 0xa1eb20}
    15357    0.161    0.000    0.161    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
   275715    0.161    0.000    0.163    0.000 {function ConvertingDict.__getitem__ at 0x7f7fca500360}
14356/6142    0.159    0.000    1.442    0.000 STDLIB/copy.py:217(_deepcopy_dict)
    90594    0.157    0.000    0.173    0.000 SP/scipy/_lib/array_api_compat/common/_helpers.py:149(is_torch_array)
    50891    0.157    0.000    0.498    0.000 {method 'any' of 'numpy.generic' objects}
    61089    0.156    0.000    2.768    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:859(<lambda>)
    11891    0.156    0.000    0.291    0.000 SP/scipy/linalg/lapack.py:1028(_compute_lwork)
    12146    0.155    0.000    0.262    0.000 SP/scipy/_lib/_array_api.py:471(xp_result_type)
    25482    0.155    0.000    0.177    0.000 SP/matplotlib/font_manager.py:1233(score_stretch)
    60504    0.154    0.000    0.154    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    12115    0.154    0.000    0.555    0.000 SP/scipy/special/_logsumexp.py:169(_elements_and_indices_with_max_real)
49335/3590    0.153    0.000    0.622    0.000 PyAutoFit/autofit/mapper/prior_model/recursion.py:96(wrapper)
    10952    0.152    0.000    0.302    0.000 SP/matplotlib/artist.py:179(__init__)
    25443    0.151    0.000    0.354    0.000 SP/matplotlib/transforms.py:750(__init__)
    26292    0.147    0.000    1.256    0.000 PyAutoFit/autofit/messages/abstract.py:204(__mul__)
75890/72594    0.146    0.000    0.149    0.000 {built-in method _abc._abc_subclasscheck}
    19122    0.146    0.000    0.146    0.000 {built-in method matplotlib._path.affine_transform}
     9329    0.143    0.000    0.343    0.000 SP/dynesty/bounding.py:424(contains)
     2766    0.141    0.000    0.473    0.000 SP/matplotlib/lines.py:686(recache)
    16284    0.137    0.000    0.137    0.000 {method 'sub' of 're.Pattern' objects}
    56527    0.135    0.000    0.196    0.000 SP/matplotlib/transforms.py:1770(__init__)
    22905    0.135    0.000    0.147    0.000 SP/matplotlib/transforms.py:180(set_children)
     1339    0.135    0.000    2.990    0.002 SP/matplotlib/axis.py:59(__init__)
    65736    0.134    0.000    0.544    0.000 PyAutoNerves/autonerves/conf.py:188(__getitem__)
